"id","exam_id","text","options","correct_answer","question_order","topic_id"
"ap-2025-q001","ap-2025-autumn-morning","A, B, C, D を論理変数とするとき，次のカルノー図と等価な論理式はどれか。ここで，・は論理積，＋は論理和，$\overline{X}$ は X の否定を表す。

| AB \\ CD | 00 | 01 | 11 | 10 |
| :---: | :---: | :---: | :---: | :---: |
| **00** | 1 | 0 | 0 | 1 |
| **01** | 0 | 1 | 1 | 0 |
| **11** | 0 | 1 | 1 | 0 |
| **10** | 0 | 0 | 0 | 0 |","[""$A \\cdot B \\cdot \\overline{C} \\cdot D + \\overline{B} \\cdot \\overline{D}$"",""$\\overline{A} \\cdot \\overline{B} \\cdot \\overline{C} \\cdot \\overline{D} + B \\cdot D$"",""$A \\cdot B \\cdot D + \\overline{B} \\cdot \\overline{D}$"",""$\\overline{A} \\cdot \\overline{B} \\cdot \\overline{D} + B \\cdot D$""]","3","1",
"ap-2025-q002","ap-2025-autumn-morning","コンピュータによる伝票処理システムがある。このシステムは, 伝票データをためる待ち行列をもち, M/M/1 の待ち行列モデルが適用できるものとする。平均待ち時間が T 秒以上となるのは, システムの利用率が少なくとも何%以上となったときか。ここで, 伝票データをためる待ち行列の特徴は次のとおりである。

・伝票データは, ポアソン分布に従って到着する。
・伝票データをためる数に制限はない。
・1 件の伝票データの処理時間は, 平均 T 秒の指数分布に従う。","[""33"",""50"",""67"",""80""]","1","2",
"ap-2025-q003","ap-2025-autumn-morning","AIにおける機械学習において，2クラス分類モデルの評価方法の一つであるROC曲線で用いられる偽陽性率の説明として，最も適切なものはどれか。ここで，分類されるデータには正しいものと間違っているものが含まれるものとする。","[""“間違い”と予測したデータのうち，実際は“正しい”データの割合"",""実際に“間違い”であるデータに対し，誤って“正しい”と予測したデータの割合"",""実際に“間違い”であるデータに対し，正しく“間違い”と予測したデータの割合"",""全データのうち，実際に正しく予測できなかったデータの割合""]","1","3",
"ap-2025-q004","ap-2025-autumn-morning","誤り検出方式であるCRCに関する記述として，適切なものはどれか。","[""検査用のデータは，検査対象のデータを生成多項式で処理して得られる1ビットの値である。"",""受信側では，付加されてきた検査用のデータで検査対象のデータを割り，余りがなければ送信が正しかったと判断する。"",""送信側では，生成多項式を用いて検査対象のデータから検査用のデータを作り，これを検査対象のデータに付けて送信する。"",""送信側と受信側では，異なる生成多項式が用いられる。""]","2","4",
"ap-2025-q005","ap-2025-autumn-morning","記憶領域を管理するアルゴリズムのうち，ベストフィット方式の特徴として，適切なものはどれか。","[""空きブロック群のうち，アドレスが下位のブロックを高い頻度で使用するので，アドレスが上位の方に大きな空きブロックが残る傾向にある。"",""空きブロック群のうち，要求された大きさを満たす最小のものを割り当てるので，最終的には小さな空きブロックが多数残る傾向にある。"",""空きブロックの検索にハッシュ関数を使用しているので，高速に検索することができる。"",""空きブロックをアドレスの昇順に管理しているので，隣接する空きブロックを簡単に見つけられ，より大きな空きブロックにまとめることができる。""]","1","5",
"ap-2025-q006","ap-2025-autumn-morning","異なる n 個のデータが昇順に整列された表がある。この表を m 個のデータごとのブロックに分割し，各ブロックの最後尾のデータだけを線形探索することによって，目的のデータの存在するブロックを探し出す。次に，当該ブロック内を線形探索して目的のデータを探し出す。このときの平均比較回数を表す式はどれか。ここで，m は十分に大きく，n は m の倍数とし，目的のデータは必ず表の中に存在するものとする。","[""$m + \\frac{n}{m}$"",""$\\frac{m}{2} + \\frac{n}{2m}$"",""$\\frac{n}{m}$"",""$\\frac{n}{2m}$""]","1","6",
"ap-2025-q007","ap-2025-autumn-morning","OSS として公開されているプログラム言語である Scala の特徴はどれか。","[""オブジェクト指向プログラミングと関数型プログラミングの両方が可能である。"",""クラスの多重継承が可能である。"",""実行前にコンパイルして，ネイティブコードを生成する必要がある。"",""変数の型が，参照する実際の値によって実行時に決定される動的型付け言語である。""]","0","7",
"ap-2025-q008","ap-2025-autumn-morning","プロセッサの高速化技法の一つとして，同時に実行可能な複数の動作を，コンパイルの段階でまとめて一つの複合命令とし，高速化を図る方式はどれか。","[""CISC"",""MIMD"",""RISC"",""VLIW""]","3","8",
"ap-2025-q009","ap-2025-autumn-morning","画面表示用フレームバッファがユニファイドメモリ方式であるシステムの特徴はどれか。","[""主記憶とは別に専用のフレームバッファをもつ。"",""主記憶の一部を表示領域として使用する。"",""シリアル接続した表示デバイスに，描画コマンドを用いて表示する。"",""表示リフレッシュが不要である。""]","1","9",
"ap-2025-q010","ap-2025-autumn-morning","モーターの軸に装着された回転センサーから出力されるパルスの周期を，1MHz のクロック周波数でカウントアップするタイマーで計測したところ，10,000 カウントであった。モーターの回転数は毎秒何回転か。ここで，回転センサーはモーターの軸が1回転するごとに図のようなパルスを2回出力するものとする。

","[""50"",""100"",""200"",""5,000""]","0","10",
"ap-2025-q011","ap-2025-autumn-morning","現状の HPC (High Performance Computing) マシンの構成を，次の条件で更新することにした。更新後の，ノード数と総理論ピーク演算性能はどれか。ここで，総理論ピーク演算性能は，コア数に比例するものとする。

〔現状の構成〕
(1) 一つのコアの理論ピーク演算性能は 10 GFLOPS である。
(2) 一つのノードのコア数は 8 である。
(3) ノード数は 1,000 である。

〔更新条件〕
(1) 一つのコアの理論ピーク演算性能を現状の 2 倍にする。
(2) 一つのノードのコア数を現状の 2 倍にする。
(3) 総コア数を現状の 4 倍にする。

| ノード数 | 総理論ピーク演算性能<br/>(TFLOPS) |
|---|---|","[""2,000 / 320"",""2,000 / 640"",""4,000 / 320"",""4,000 / 640""]","1","11",
